categories,title,method_name,authors,venue,year,publication_type,paper_url,doi,code_url,code_license
datasets-benchmarks,MassSpecGym: A Benchmark for the Discovery and Identification of Molecules,MassSpecGym,Roman Bushuiev; Anton Bushuiev; Niek F. de Jonge; Adamo Young; Fleming Kretschmer; Raman Samusevich; Janne Heirman; Fei Wang; Luke Zhang; Kai Dührkop; Marcus Ludwig; Nils A. Haupt; Apurva Kalia; Corinna Brungs; Robin Schmid; Russell Greiner; Bo Wang; David S. Wishart; Li-Ping Liu; Juho Rousu; Wout Bittremieux; Hannes Rost; Tytus D. Mak; Soha Hassoun; Florian Huber; Justin J.J. van der Hooft; Michael A. Stravs; Sebastian Böcker; Josef Sivic; Tomáš Pluskal,Advances in Neural Information Processing Systems,2024,conference,https://arxiv.org/abs/2410.23326,10.48550/arXiv.2410.23326,https://github.com/pluskal-lab/MassSpecGym,MIT
datasets-benchmarks,MSnLib: Efficient Generation of Open Multi-Stage Fragmentation Mass Spectral Libraries,MSnLib,Corinna Brungs; Robin Schmid; Steffen Heuckeroth; Aninda Mazumdar; Matúš Drexler; Pavel Šácha; Pieter C. Dorrestein; Daniel Petras; Louis-Felix Nothias; Václav Veverka; Radim Nencka; Zdeněk Kameník; Tomáš Pluskal,Nature Methods,2025,journal,https://www.nature.com/articles/s41592-025-02813-0,10.1038/s41592-025-02813-0,https://github.com/corinnabrungs/msn_tree_library,MIT
datasets-benchmarks,Confronting Spurious Evaluations of Computational Methods in Small Molecule Mass Spectrometry,,Vishu Gupta; Michael A. Skinnider,bioRxiv,2026,preprint,https://www.biorxiv.org/content/10.64898/2026.05.03.722532v1,10.64898/2026.05.03.722532,,
datasets-benchmarks,⭐MassSpecGym in the Wild: Uncovering and Correcting Evaluation Pitfalls in AI-Driven Molecule Discovery,MassSpecGym v1.5,Hongxuan Liu; Roman Bushuiev; Ivy Lightheart; Mrunali Manjrekar; Anton Bushuiev; Magdalena Lederbauer; Filip Jozefov; Yinkai Wang; Soha Hassoun; Josef Sivic; James Taylor; Runzhong Wang; David Healey; Tomáš Pluskal; Connor W. Coley,arXiv,2026,preprint,https://arxiv.org/abs/2606.19624,10.48550/arXiv.2606.19624,https://github.com/pluskal-lab/MassSpecGym,MIT
systems-agents;formula-inference,SIRIUS 4: A Rapid Tool for Turning Tandem Mass Spectra into Metabolite Structure Information,SIRIUS 4,Kai Dührkop; Markus Fleischauer; Marcus Ludwig; Alexander A. Aksenov; Alexey V. Melnik; Marvin Meusel; Pieter C. Dorrestein; Juho Rousu; Sebastian Böcker,Nature Methods,2019,journal,https://doi.org/10.1038/s41592-019-0344-8,10.1038/s41592-019-0344-8,https://github.com/sirius-ms/sirius,NOASSERTION
systems-agents,Mass Spectrometry Searches Using MASST,MASST,Mingxun Wang; Alan K. Jarmusch; Fernando Vargas; Alexander A. Aksenov; Julia M. Gauglitz; Kelly Weldon; Daniel Petras; Ricardo da Silva; Robert Quinn; Alexey V. Melnik; Justin J. J. van der Hooft; Andrés Mauricio Caraballo-Rodríguez; Louis Felix Nothias; Christine M. Aceves; Morgan Panitchpakdi; Elizabeth Brown; Francesca Di Ottavio; Nicole Sikora; Emmanuel O. Elijah; Lara Labarta-Bajo; Emily C. Gentry; Shabnam Shalapour; Kathleen E. Kyle; Sara P. Puckett; Jeramie D. Watrous; Carolina S. Carpenter; Amina Bouslimani; Madeleine Ernst; Austin D. Swafford; Elina I. Zúñiga; Marcy J. Balunas; Jonathan L. Klassen; Rohit Loomba; Rob Knight; Nuno Bandeira; Pieter C. Dorrestein,Nature Biotechnology,2020,journal,https://doi.org/10.1038/s41587-019-0375-9,10.1038/s41587-019-0375-9,https://github.com/CCMS-UCSD/GNPS_Workflows,NOASSERTION
systems-agents,MSAgent: An Evidence Grounded Agentic Framework for LLM-Driven Scientific Exploration in Mass Spectrometry-Based Metabolomics,MSAgent,Yifan Li; Yunhua Zhong; Pan Liu; Yusheng Tan; Hongyu Zhan; Jun Xia,bioRxiv,2026,preprint,https://doi.org/10.64898/2026.04.22.720103,10.64898/2026.04.22.720103,,
systems-agents,MetaboAnnotate: An AI-Powered Multiagent Framework for Integrating Annotation Tools for Untargeted Metabolomics,MetaboAnnotate,Yan Zhou Chen; Brandon Mukadziwashe; Frederick Zhang; Soha Hassoun,Analytical Chemistry,2026,journal,https://pubs.acs.org/doi/10.1021/acs.analchem.6c01717,10.1021/acs.analchem.6c01717,,
systems-agents,Agentic AI for Structural Elucidation and Discovery of Drug Metabolites from Mass Spectrometry Data,,Xianghu Wang; Abubaker Patan; Haoqi Nina Zhao; Vincent Charron-Lamoureux; Yourae Shin; Daniel Petras; Yuhui Hong; Benjamin P. Bowen; Trent R. Northen; Pieter C. Dorrestein; Mingxun Wang,bioRxiv,2026,preprint,https://doi.org/10.64898/2026.06.23.734138,10.64898/2026.06.23.734138,https://github.com/Wang-Bioinformatics-Lab/agent-annotation-plugin,NOASSERTION
structure-to-spectrum,Mass Spectra Prediction with Structural Motif-Based Graph Neural Networks,MoMS-Net,Jiwon Park; Jeonghee Jo; Sungroh Yoon,Scientific Reports,2024,journal,https://www.nature.com/articles/s41598-024-51760-x,10.1038/s41598-024-51760-x,,
structure-to-spectrum,An Ensemble Spectral Prediction (ESP) Model for Metabolite Annotation,ESP,Xinmeng Li; Yan Zhou Chen; Apurva Kalia; Hao Zhu; Li-Ping Liu; Soha Hassoun,Bioinformatics,2024,journal,https://academic.oup.com/bioinformatics/article/40/8/btae490/7734912,10.1093/bioinformatics/btae490,https://github.com/HassounLab/ESP,MIT
structure-to-spectrum,Rapid Approximate Subset-Based Spectra Prediction for Electron Ionization–Mass Spectrometry,RASSP,Richard Licheng Zhu; Eric Jonas,Analytical Chemistry,2023,journal,https://pubs.acs.org/doi/10.1021/acs.analchem.2c02093,10.1021/acs.analchem.2c02093,https://github.com/thejonaslab/rassp-public,NOASSERTION
de-novo-elucidation,Structural Annotation of Unknown Molecules in a Miniaturized Mass Spectrometer Based on a Transformer Enabled Fragment Tree Method,TeFT,Yiming Yang; Shuang Sun; Shuyuan Yang; Qin Yang; Xinqiong Lu; Xiaohao Wang; Quan Yu; Xinming Huo; Xiang Qian,Communications Chemistry,2024,journal,https://www.nature.com/articles/s42004-024-01189-0,10.1038/s42004-024-01189-0,https://github.com/thumingo/TeFT,NOASSERTION
de-novo-elucidation,MassGenie: A Transformer-Based Deep Learning Method for Identifying Small Molecules from Their Mass Spectra,MassGenie,Aditya Divyakant Shrivastava; Neil Swainston; Soumitra Samanta; Ivayla Roberts; Marina Wright Muelas; Douglas B. Kell,Biomolecules,2021,journal,https://www.mdpi.com/2218-273X/11/12/1793,10.3390/biom11121793,,
representation-learning,Supervised Contrastive Learning Leads to More Reasonable Spectral Embeddings,SpecEmbedding,Peng Xiong; Hongtao Xu; Haoran Zheng,Analytical Chemistry,2025,journal,https://pubs.acs.org/doi/10.1021/acs.analchem.5c02655,10.1021/acs.analchem.5c02655,https://github.com/sword-nan/SpecEmbedding,NOASSERTION
