categories,title,method_name,authors,venue,year,publication_type,paper_url,doi,code_url,code_license
de-novo-elucidation,Optimized De Novo Molecular Generation (OMG) for Mass Spectra Annotation Using Transfer and Reinforcement Learning,OMG,Margaret R. Martin; Soha Hassoun,Analytical Chemistry,2025,journal,https://doi.org/10.1021/acs.analchem.5c01770,10.1021/acs.analchem.5c01770,https://github.com/HassounLab/OMG,NOASSERTION
de-novo-elucidation,Test-Time Tuned Language Models Enable End-to-End De Novo Molecular Structure Generation from MS/MS Spectra,,Laura Mismetti; Marvin Alberts; Andreas Krause; Mara Graziani,International Conference on Learning Representations,2026,conference,https://openreview.net/forum?id=iUNLJK9oSj,10.48550/arXiv.2510.23746,,
de-novo-elucidation,"One Small Step with Fingerprints, One Giant Leap for De Novo Molecule Generation from Mass Spectra",MIST + MolForge,Neng Kai Nigel Neo; Lim Jing; Ngoui Yong Zhau Preston; Koh Xue Ting Serene; Bingquan Shen,arXiv,2025,preprint,https://arxiv.org/abs/2508.04180,10.48550/arXiv.2508.04180,,
de-novo-elucidation,Breaking the Modality Barrier: Generative Modeling for Accurate Molecule Retrieval from Mass Spectra,GLMR,Yiwen Zhang; Keyan Ding; Yihang Wu; Xiang Zhuang; Yi Yang; Qiang Zhang; Huajun Chen,AAAI Conference on Artificial Intelligence,2026,conference,https://ojs.aaai.org/index.php/AAAI/article/view/37132,10.48550/arXiv.2511.06259,,
de-novo-elucidation;formula-inference,MARLIN: De Novo Molecular Structure Elucidation from Tandem Mass Spectra without a Ground-Truth Formula,MARLIN,Xujun Che; Xiuxia Du; Depeng Xu,arXiv,2026,preprint,https://arxiv.org/abs/2607.04774,10.48550/arXiv.2607.04774,,
de-novo-elucidation;metabolite-generation,Structure-Informed Deep Generation Enables De Novo Metabolite Annotation in Untargeted Metabolomics,MetGenX,Hongmiao Wang; Haosong Zhang; Zheng-Jiang Zhu,Nature Communications,2026,journal,https://www.nature.com/articles/s41467-026-72149-6,10.1038/s41467-026-72149-6,https://github.com/ZhuMetLab/MetGenX,CC-BY-NC-ND-4.0
de-novo-elucidation;structure-to-spectrum,MolSpecFlow: Mass-Constrained Hybrid Flow Matching for Joint Molecular-Spectral Analysis,MolSpecFlow,Yu Wang; Fan Yang; Kaikun Xu; Li Yuan; Jun Zhu; Jingjie Zhang; Zhenchao Tang; Yatao Bian; Cheng Chang; Yonghong Tian; Jianhua Yao,bioRxiv,2026,preprint,https://www.biorxiv.org/content/10.64898/2026.01.28.702438v1,10.64898/2026.01.28.702438,,
de-novo-elucidation,⭐FRIGID: Scaling Diffusion-Based Molecular Generation from Mass Spectra at Training and Inference Time,FRIGID,Montgomery Bohde; Hongxuan Liu; Mrunali Manjrekar; Magdalena Lederbauer; Shuiwang Ji; Runzhong Wang; Connor W. Coley,arXiv,2026,preprint,https://arxiv.org/abs/2604.16648,10.48550/arXiv.2604.16648,https://github.com/coleygroup/FRIGID,NOASSERTION
de-novo-elucidation,⭐Generative Structural Elucidation from Mass Spectra as an Iterative Optimization Problem,FOAM,Mrunali Manjrekar; Runzhong Wang; Samuel Goldman; Jenna C. Fromer; Connor W. Coley,arXiv,2026,preprint,https://arxiv.org/abs/2602.07709,10.48550/arXiv.2602.07709,https://github.com/coleygroup/foam,NOASSERTION
de-novo-elucidation,MS-GPT: Rethinking MS/MS De Novo Structure Elucidation as Spectrum-Induced Posterior Querying of a Molecule-Language Model,MS-GPT,Xin Zhao; Yumin Liu; Zhuo Li; Weichu Zheng; Feng Zhu; Xiaokang Yang; Yaohui Jin; Yanyan Xu,arXiv,2026,preprint,https://arxiv.org/abs/2607.23607,10.48550/arXiv.2607.23607,https://github.com/VIKI623/MS-GPT,NOASSERTION
spectrum-to-fingerprint,Searching Molecular Structure Databases with Tandem Mass Spectra Using CSI:FingerID,CSI:FingerID,Kai Dührkop; Huibin Shen; Marvin Meusel; Juho Rousu; Sebastian Böcker,Proceedings of the National Academy of Sciences,2015,journal,https://doi.org/10.1073/pnas.1509788112,10.1073/pnas.1509788112,https://github.com/sirius-ms/sirius,NOASSERTION
spectrum-to-fingerprint,Predicting a Molecular Fingerprint from an Electron Ionization Mass Spectrum with Deep Neural Networks,DeepEI,Hongchao Ji; Hanzi Deng; Hongmei Lu; Zhimin Zhang,Analytical Chemistry,2020,journal,https://doi.org/10.1021/acs.analchem.0c01450,10.1021/acs.analchem.0c01450,https://github.com/hcji/DeepEI,Apache-2.0
de-novo-elucidation,MSNovelist: De Novo Structure Generation from Mass Spectra,MSNovelist,Michael A. Stravs; Kai Dührkop; Sebastian Böcker; Nicola Zamboni,Nature Methods,2022,journal,https://doi.org/10.1038/s41592-022-01486-3,10.1038/s41592-022-01486-3,https://github.com/meowcat/MSNovelist,AGPL-3.0
spectrum-to-fingerprint,Annotating Metabolite Mass Spectra with Domain-Inspired Chemical Formula Transformers,MIST,Samuel Goldman; Jeremy Wohlwend; Martin Stražar; Guy Haroush; Ramnik J. Xavier; Connor W. Coley,Nature Machine Intelligence,2023,journal,https://doi.org/10.1038/s42256-023-00708-3,10.1038/s42256-023-00708-3,https://github.com/samgoldman97/mist,NOASSERTION
spectrum-to-fingerprint,IDSL_MINT: A Deep Learning Framework to Predict Molecular Fingerprints from Mass Spectra,IDSL_MINT,Sadjad Fakouri Baygi; Dinesh Kumar Barupal,Journal of Cheminformatics,2024,journal,https://doi.org/10.1186/s13321-024-00804-5,10.1186/s13321-024-00804-5,https://github.com/idslme/IDSL_MINT,NOASSERTION
spectrum-to-fingerprint,JESTR: Joint Embedding Space Technique for Ranking Candidate Molecules for the Annotation of Untargeted Metabolomics Data,JESTR,Apurva Kalia; Yan Zhou Chen; Dilip Krishnan; Soha Hassoun,Bioinformatics,2025,journal,https://academic.oup.com/bioinformatics/article/41/7/btaf354/8165426,10.1093/bioinformatics/btaf354,https://github.com/HassounLab/JESTR1,MIT
spectrum-to-fingerprint,Learning from All Views: A Multiview Contrastive Framework for Metabolite Annotation,MVP,Yan Zhou Chen; Soha Hassoun,Analytical Chemistry,2026,journal,https://pubs.acs.org/doi/10.1021/acs.analchem.5c05675,10.1021/acs.analchem.5c05675,https://github.com/HassounLab/MVP,NOASSERTION
spectrum-to-fingerprint,FLARE: Fine-Grained Learning for Alignment of Spectra-Molecule REpresentation Enhances Metabolite Annotation,FLARE,Yan Zhou Chen; Blake Rushing; Soha Hassoun,bioRxiv,2026,preprint,https://www.biorxiv.org/content/10.64898/2026.01.27.702086v1,10.64898/2026.01.27.702086,https://huggingface.co/spaces/HassounLab/FLARE,MIT
metabolite-generation,Language Model-Guided Anticipation and Discovery of Mammalian Metabolites,DeepMet,Hantao Qiang; Fei Wang; Wenyun Lu; Xi Xing; Hahn Kim; Sandrine A. M. Mérette; Lucas B. Ayres; Eponine Oler; Jenna E. AbuSalim; Asael Roichman; Michael Neinast; Ricardo A. Cordova; Won Dong Lee; Ehud Herbst; Vishu Gupta; Samuel L. Neff; Mickel Hiebert-Giesbrecht; Adamo Young; Vasuk Gautam; Siyang Tian; Bo Wang; Hannes Röst; Jatinder Baidwan; Russell Greiner; Li Chen; Chad W. Johnston; Leonard J. Foster; Aaron M. Shapiro; David S. Wishart; Joshua D. Rabinowitz; Michael A. Skinnider,Nature,2026,journal,https://doi.org/10.1038/s41586-025-09969-x,10.1038/s41586-025-09969-x,https://github.com/skinniderlab/clm,MIT
class-property,Systematic Classification of Unknown Metabolites Using High-Resolution Fragmentation Mass Spectra,CANOPUS,Kai Dührkop; Louis-Félix Nothias; Markus Fleischauer; Raphael Reher; Marcus Ludwig; Martin A. Hoffmann; Daniel Petras; William H. Gerwick; Juho Rousu; Pieter C. Dorrestein; Sebastian Böcker,Nature Biotechnology,2021,journal,https://doi.org/10.1038/s41587-020-0740-8,10.1038/s41587-020-0740-8,https://github.com/sirius-ms/sirius,NOASSERTION
class-property,MS2Prop: A Machine Learning Model That Directly Generates De Novo Predictions of Drug-Likeness of Natural Products from Unannotated MS/MS Spectra,MS2Prop,Gennady Voronov; Rose Lightheart; Abe Frandsen; Brian Bargh; Sarah E. Haynes; Elizabeth Spencer; Katherine E. Schoenhardt; Christina Davidson; Andre Schaum; Venkat R. Macherla; Erik DeBloois; David Healey; Tobias Kind; Pieter Dorrestein; Viswa Colluru; Thomas Butler; Marvin S. Yu,bioRxiv,2024,preprint,https://www.biorxiv.org/content/10.1101/2022.10.09.511482v2,10.1101/2022.10.09.511482,,
annotation-confidence,High-Confidence Structural Annotation of Metabolites Absent from Spectral Libraries,COSMIC,Martin A. Hoffmann; Louis-Félix Nothias; Marcus Ludwig; Markus Fleischauer; Emily C. Gentry; Michael Witting; Pieter C. Dorrestein; Kai Dührkop; Sebastian Böcker,Nature Biotechnology,2022,journal,https://doi.org/10.1038/s41587-021-01045-9,10.1038/s41587-021-01045-9,https://github.com/sirius-ms/sirius,NOASSERTION
annotation-confidence;systems-agents,Implementing Annotation Confidence Scoring in Untargeted Mass Spectrometry Workflows for Small Molecule Analysis,,Daniel Krakko; Ralf Tautenhahn; Whitney L. Stutts,Analytical Chemistry,2026,journal,https://doi.org/10.1021/acs.analchem.5c03229,10.1021/acs.analchem.5c03229,,
